topic_id,word,weight,in_dictionary,in_cold_war_vocab,in_known_entities,is_abbreviation,is_spanish_stopword,doc_frequency,high_doc_frequency,too_short,non_alpha,flagged_as_noise
0,black,0.018996,True,False,False,False,False,824,True,False,False,False
0,bpp,0.013263,False,False,True,False,False,143,True,False,False,False
0,panther,0.012414,True,False,False,False,False,212,True,False,False,False
0,chicago,0.011337,False,False,True,False,False,594,True,False,False,False
0,party,0.010108,True,True,False,False,False,1541,True,False,False,False
0,people,0.009686,True,False,False,False,False,1598,True,False,False,False
0,illinois,0.007858,True,False,False,False,False,357,True,False,False,False
0,police,0.006281,True,False,False,False,False,1201,True,False,False,False
0,fbi,0.004722,False,True,True,False,False,1571,True,False,False,False
0,federal,0.003663,True,False,False,False,False,1382,True,False,False,False
0,community,0.00356,True,False,False,False,False,933,True,False,False,False
0,investigation,0.003363,True,False,False,False,False,1796,True,False,False,False
0,hampton,0.0033,False,False,True,False,False,89,False,False,False,False
0,white,0.003234,True,False,False,False,False,1166,True,False,False,False
0,program,0.003231,True,False,False,False,False,1577,True,False,False,False
0,attorney,0.003148,True,False,False,False,False,1065,True,False,False,False
0,national,0.003079,True,False,False,False,False,1928,True,False,False,False
0,street,0.003072,True,False,False,False,False,1280,True,False,False,False
0,department,0.002878,True,False,False,False,False,1864,True,False,False,False
0,pig,0.002823,True,False,False,False,False,362,True,False,False,False
1,york,0.010552,True,False,False,False,False,1519,True,False,False,False
1,woman,0.007352,True,False,False,False,False,655,True,False,False,False
1,national,0.007327,True,False,False,False,False,1928,True,False,False,False
1,party,0.006958,True,True,False,False,False,1541,True,False,False,False
1,washington,0.006315,True,False,False,False,False,2001,True,False,False,False
1,san,0.005301,True,False,False,False,False,1091,True,False,False,False
1,communist,0.005197,True,True,False,False,False,1469,True,False,False,False
1,organization,0.005129,True,False,False,False,False,1943,True,False,False,False
1,fbi,0.004857,False,True,True,False,False,1571,True,False,False,False
1,american,0.004678,True,False,False,False,False,1876,True,False,False,False
1,bureau,0.004489,True,False,False,False,False,1321,True,False,False,False
1,january,0.00428,True,False,False,False,False,1743,True,False,False,False
1,california,0.004251,True,False,False,False,False,675,True,False,False,False
1,jaffe,0.004182,False,False,True,False,False,39,False,False,False,False
1,francisco,0.004165,True,False,False,False,False,685,True,False,False,False
1,meeting,0.003737,True,False,False,False,False,1831,True,False,False,False
1,demonstration,0.003695,True,False,False,False,False,426,True,False,False,False
1,march,0.003564,True,False,False,False,False,1820,True,False,False,False
1,university,0.00351,True,False,False,False,False,1012,True,False,False,False
1,committee,0.003464,True,False,False,False,False,1720,True,False,False,False
2,cover,0.007994,True,False,False,False,False,1916,True,False,False,False
2,project,0.007656,True,False,False,False,False,1264,True,False,False,False
2,operational,0.006625,True,False,False,False,False,1327,True,False,False,False
2,contract,0.006557,True,False,False,False,False,764,True,False,False,False
2,mexico,0.005856,False,True,False,False,False,1092,True,False,False,False
2,city,0.004951,True,False,False,False,False,1974,True,False,False,False
2,approval,0.004688,True,False,False,False,False,1548,True,False,False,False
2,dispatch,0.00372,True,False,False,False,False,922,True,False,False,False
2,required,0.003687,False,False,False,False,False,1876,True,False,False,False
2,headquarters,0.003391,True,False,False,False,False,1802,True,False,False,False
2,per,0.003276,True,False,False,False,False,1705,True,False,False,False
2,period,0.002978,True,False,False,False,False,1841,True,False,False,False
2,travel,0.00293,True,False,False,False,False,1362,True,False,False,False
2,june,0.002912,True,False,False,False,False,1948,True,False,False,False
2,month,0.002901,True,False,False,False,False,1895,True,False,False,False
2,july,0.002826,True,False,False,False,False,1875,True,False,False,False
2,personnel,0.00278,True,False,False,False,False,1967,True,False,False,False
2,payment,0.002597,True,False,False,False,False,668,True,False,False,False
2,salary,0.002593,True,False,False,False,False,872,True,False,False,False
2,training,0.002383,True,False,False,False,False,1333,True,False,False,False
3,fbi,0.016731,False,True,True,False,False,1571,True,False,False,False
3,committee,0.014137,True,False,False,False,False,1720,True,False,False,False
3,bureau,0.008916,True,False,False,False,False,1321,True,False,False,False
3,attorney,0.007842,True,False,False,False,False,1065,True,False,False,False
3,investigation,0.007583,True,False,False,False,False,1796,True,False,False,False
3,ssc,0.006764,False,False,True,False,False,313,True,False,False,False
3,select,0.006063,True,False,False,False,False,958,True,False,False,False
3,material,0.005548,True,False,False,False,False,1883,True,False,False,False
3,senate,0.005409,True,False,False,False,False,634,True,False,False,False
3,king,0.004934,True,False,False,False,False,750,True,False,False,False
3,department,0.00467,True,False,False,False,False,1864,True,False,False,False
3,interview,0.004615,True,False,False,False,False,1258,True,False,False,False
