topic_id,word,weight,in_dictionary,in_cold_war_vocab,too_short,non_alpha,flagged_as_noise
0,line,0.068308,True,False,False,False,False
0,tax,0.027326,True,False,False,False,False
0,enter,0.026175,True,False,False,False,False
0,total,0.02048,True,False,False,False,False
0,income,0.0192,True,False,False,False,False
0,schedule,0.017869,True,False,False,False,False
0,amount,0.016807,True,False,False,False,False
0,loss,0.015434,True,False,False,False,False
0,instruction,0.010049,True,False,False,False,False
0,gain,0.009891,True,False,False,False,False
0,attach,0.009684,True,False,False,False,False
0,expense,0.008932,True,False,False,False,False
0,less,0.007885,True,False,False,False,False
0,credit,0.006806,True,False,False,False,False
0,business,0.006623,True,False,False,False,False
0,net,0.006578,True,False,False,False,False
0,property,0.006569,True,False,False,False,False
0,deduction,0.0062,True,False,False,False,False
0,social,0.005862,True,False,False,False,False
0,sale,0.005828,True,False,False,False,False
1,told,0.005098,True,False,False,False,False
1,know,0.004002,True,False,False,False,False
1,soviet,0.003988,True,True,False,False,False
1,wife,0.003819,True,False,False,False,False
1,n't,0.003741,False,False,False,True,True
1,asked,0.003551,False,False,False,False,True
1,embassy,0.003496,True,True,False,False,False
1,say,0.003276,True,False,False,False,False
1,get,0.003196,True,False,False,False,False
1,go,0.002969,True,False,True,False,True
1,meeting,0.002867,True,False,False,False,False
1,friend,0.00282,True,False,False,False,False
1,like,0.002605,True,False,False,False,False
1,mexico,0.002488,False,True,False,False,False
1,good,0.002473,True,False,False,False,False
1,de,0.002369,True,False,True,False,True
1,man,0.002311,True,False,False,False,False
1,loginov,0.00228,False,False,False,False,True
1,people,0.002211,True,False,False,False,False
1,come,0.002129,True,False,False,False,False
2,de,0.067729,True,False,True,False,True
2,la,0.040848,True,False,True,False,True
2,en,0.02399,True,False,True,False,True
2,el,0.021531,True,False,True,False,True
2,los,0.012022,False,False,False,False,True
2,del,0.010605,True,False,False,False,False
2,se,0.009552,True,False,True,False,True
2,por,0.009333,False,False,False,False,True
2,con,0.008908,True,False,False,False,False
2,un,0.00787,True,False,True,False,True
2,para,0.007193,True,False,False,False,False
2,al,0.006936,True,False,True,False,True
2,le,0.005892,False,False,True,False,True
2,e,0.005691,True,False,True,False,True
2,su,0.005418,False,False,True,False,True
2,una,0.005388,True,False,False,False,False
2,lo,0.005125,True,False,True,False,True
2,cuba,0.004454,True,True,False,False,False
2,como,0.003683,False,False,False,False,True
2,si,0.002711,True,False,True,False,True
3,king,0.017006,True,False,False,False,False
3,q.,0.013574,False,False,True,True,True
3,sclc,0.0098,False,False,False,False,True
3,communist,0.009734,True,True,False,False,False
3,atlanta,0.009492,True,False,False,False,False
3,levison,0.008716,False,False,False,False,True
3,o'dell,0.006981,False,False,False,True,True
3,sullivan,0.006561,False,False,False,False,True
3,fbi,0.006508,False,True,False,False,False
3,novel,0.006145,True,False,False,False,False
3,attorney,0.006081,True,False,False,False,False
3,klan,0.005581,True,False,False,False,False
3,party,0.005353,True,True,False,False,False
3,belmont,0.005225,False,False,False,False,True
3,york,0.005073,True,False,False,False,False
3,letter,0.004385,True,False,False,False,False
3,committee,0.004296,True,False,False,False,False
3,racial,0.004232,True,False,False,False,False
3,negro,0.004226,True,False,False,False,False
3,luther,0.004045,True,False,False,False,False
4,n't,0.013023,False,False,False,True,True
4,know,0.007995,True,False,False,False,False
4,think,0.0075,True,False,False,False,False
4,president,0.006646,True,False,False,False,False
4,assassination,0.006203,True,False,False,False,False
4,washington,0.00557,True,False,False,False,False
4,thing,0.00523,True,False,False,False,False
4,meeting,0.005161,True,False,False,False,False
4,area,0.00496,True,False,False,False,False
4,people,0.004946,True,False,False,False,False
4,question,0.004561,True,False,False,False,False
4,say,0.004496,True,False,False,False,False
4,senator,0.004428,True,False,False,False,False
4,paul,0.004305,True,False,False,False,False
4,phone,0.004147,True,False,False,False,False
4,yes,0.004134,True,False,False,False,False
4,street,0.004048,True,False,False,False,False
4,ward,0.003865,True,False,False,False,False
4,get,0.003604,True,False,False,False,False
4,castro,0.003571,False,True,False,False,False
5,york,0.009515,True,False,False,False,False
5,woman,0.006494,True,False,False,False,False
5,fbi,0.006365,False,True,False,False,False
5,bureau,0.006345,True,False,False,False,False
5,washington,0.006329,True,False,False,False,False
5,national,0.005959,True,False,False,False,False
5,organization,0.004948,True,False,False,False,False
5,san,0.004638,True,False,False,False,False
5,party,0.004159,True,True,False,False,False
5,california,0.004083,True,False,False,False,False
5,investigation,0.003617,True,False,False,False,False
5,francisco,0.003598,True,False,False,False,False
5,jaffe,0.003462,False,False,False,False,True
5,department,0.003344,True,False,False,False,False
5,january,0.003305,True,False,False,False,False
5,communist,0.003266,True,True,False,False,False
5,committee,0.003207,True,False,False,False,False
5,program,0.003182,True,False,False,False,False
5,march,0.00317,True,False,False,False,False
5,meeting,0.003058,True,False,False,False,False
6,code,0.01788,True,False,False,False,False
6,personnel,0.016122,True,False,False,False,False
6,data,0.013804,True,False,False,False,False
6,salary,0.010416,True,False,False,False,False
6,grade,0.00993,True,False,False,False,False
6,designation,0.007915,True,False,False,False,False
6,signature,0.00734,True,False,False,False,False
6,effective,0.006729,True,False,False,False,False
6,career,0.006664,True,False,False,False,False
6,previous,0.006395,True,False,False,False,False
6,rate,0.005467,True,False,False,False,False
6,category,0.005425,True,False,False,False,False
6,retirement,0.005302,True,False,False,False,False
6,field,0.005124,True,False,False,False,False
6,fund,0.005076,True,False,False,False,False
6,step,0.00504,True,False,False,False,False
6,pay,0.004827,True,False,False,False,False
6,legal,0.004766,True,False,False,False,False
6,serial,0.004762,True,False,False,False,False
6,tax,0.004658,True,False,False,False,False
7,board,0.015551,True,False,False,False,False
7,assassination,0.012051,True,False,False,False,False
7,jfk,0.00707,False,False,False,False,True
7,release,0.006937,True,False,False,False,False
7,public,0.006024,True,False,False,False,False
7,cover,0.005275,True,False,False,False,False
7,tichborn,0.004944,False,False,False,False,True
7,collection,0.004761,True,False,False,False,False
7,miami,0.004431,True,False,False,False,False
7,material,0.004294,True,False,False,False,False
7,president,0.003588,True,False,False,False,False
7,arrb,0.003383,False,False,False,False,True
7,disclosure,0.00334,True,False,False,False,False
7,oswald,0.003219,True,True,False,False,False
7,wiley,0.003181,False,False,False,False,True
7,issue,0.003001,True,False,False,False,False
7,fbi,0.002877,False,True,False,False,False
7,kennedy,0.002777,False,False,False,False,True
7,employee,0.002704,True,False,False,False,False
7,additional,0.002422,True,False,False,False,False
8,mexico,0.008927,False,True,False,False,False
8,city,0.007741,True,False,False,False,False
8,cuba,0.004036,True,True,False,False,False
8,birth,0.003712,True,False,False,False,False
8,address,0.003588,True,False,False,False,False
8,country,0.003579,True,False,False,False,False
8,de,0.00338,True,False,True,False,True
8,cuban,0.003316,True,False,False,False,False
8,soviet,0.003311,True,True,False,False,False
8,approval,0.002926,True,False,False,False,False
8,known,0.00283,True,False,False,False,False
8,july,0.002662,True,False,False,False,False
8,trace,0.002622,True,False,False,False,False
8,october,0.002396,True,False,False,False,False
8,operational,0.002385,True,False,False,False,False
8,wife,0.002353,True,False,False,False,False
8,investigation,0.002297,True,False,False,False,False
8,havana,0.002212,True,False,False,False,False
8,communist,0.002198,True,True,False,False,False
8,embassy,0.002123,True,True,False,False,False
9,cuban,0.007778,True,False,False,False,False
9,castro,0.005977,False,True,False,False,False
9,cuba,0.005817,True,True,False,False,False
9,miami,0.004268,True,False,False,False,False
9,u.s.,0.00371,False,False,False,True,True
9,june,0.003529,True,False,False,False,False
9,bosch,0.003432,True,False,False,False,False
9,july,0.003138,True,False,False,False,False
9,hunt,0.003012,True,False,False,False,False
9,dated,0.002939,False,False,False,False,True
9,meeting,0.002732,True,False,False,False,False
9,diem,0.002642,True,False,False,False,False
9,cover,0.00263,True,False,False,False,False
9,contract,0.002458,True,False,False,False,False
9,fbi,0.002356,False,True,False,False,False
9,exile,0.002356,True,False,False,False,False
9,president,0.002345,True,False,False,False,False
9,october,0.002334,True,False,False,False,False
